,can,QED,logP,molWt,herg,drd3,fold,profile
0,CN(CCC(O)CN1CCN(CC1)c2cccc(Cl)c2Cl)Cc3ccc4c(Cc5ccccc45)c3,0.335865772,5.5696,510.509,0,1,1,1
1,CCOc1ccccc1N2CCN(Cc3csc4ccccc34)CC2,0.666144293,4.6222,352.503,0,1,1,1
2,CCCN1CCO[C@H]2[C@H]1COc3ccc(O)cc23,0.869405761,1.9365,249.31,0,1,1,1
3,COc1ccccc1N2CCN(CCCCNC(=O)\C=C\c3ccc(C=O)cc3)CC2,0.3625608,3.2395,421.541,0,1,1,1
4,CN(CCN1CCN(C1=O)c2cccc(C)c2)C[C@@]34CC[C@@H](CC3)C4(C)C,0.743640677,4.38522,369.553,0,1,1,1
5,CCCN1CCOC2C1C[S+]([O-])c3ccc(O)cc23,0.837803172,1.6653,281.377,0,1,1,1
6,CC(=O)Nc1cccc(\C=C\C(=O)N[C@@H]2CC[C@@H](CCN3CCc4ccc(cc4CC3)C#N)CC2)c1F,0.531102926,4.83488,502.634,0,1,1,1
7,CC(=O)N[C@@H]1CC[C@@H](CCN2CCC(CC2)c3ccc(F)c4occc34)CC1,0.799995747,4.8363,386.511,0,1,1,1
8,CCc1oc2c(Br)c3CCN(CCSc4nnc(c5cccc6nc(C)ccc56)n4C)CCc3cc2n1,0.229457178,5.99772,577.552,0,1,1,1
9,CCN(CC)CCCOc1ccc(cc1)c2nc3ccccc3n2C\C=C\Cn4c(nc5ccccc45)c6ccc(OC)cc6,0.093557543,8.0957,599.779,0,1,1,1
10,CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)[C@@H]3CCc4c(F)cccc4C3,0.437457803,4.8846,428.592,0,1,1,1
11,CN1CCN(CCN2CCN(C2=O)c3cccc(Cl)c3)CC1,0.846932064,1.8294,322.84,0,1,1,1
12,CCCN1CCCC(C1)c2cccc(O)c2,0.844473455,2.9816,219.328,0,1,1,1
13,COc1ccc(c(OC)c1)c2cc(CCCCN3CCN(CC3)c4ccccc4OC)on2,0.420355789,4.5123,451.567,0,1,1,1
14,COc1ccccc1N2CCN(CC2)C3CC4CC(CC4C3)NC(=O)c5ccc6ccccc6c5,0.573888936,4.9576,469.629,0,1,1,1
15,CCCN(CCN1CCN(CC1)c2ccnc3ccccc23)[C@H]4CCc5c(O)cccc5C4,0.587524887,4.3319,444.623,0,1,1,1
16,CCCN1CCOC2C1CSc3ccc(O)cc23,0.890855578,2.6498,265.378,0,1,1,1
17,CC(=O)N[C@@H]1CC[C@@H](CCN2CCN(CC2)c3nccc4occc34)CC1,0.876533509,3.0348,370.497,0,1,1,1
18,CC(=O)Nc1cccc(CCN2CCN(CC2)c3cccc4nc(C)ccc34)c1,0.720920099,3.86632,388.515,0,1,1,1
19,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc5cccc([C@@H]2C1)c35,0.72532175,4.8448,361.529,0,1,1,1
20,CCCCC(=O)N[C@@H]1CC[C@@H](CCN2CCN(CC2)c3nccc4OCCc34)CC1,0.706592185,3.3938,414.594,0,1,1,1
21,CC1=Cc2ccc(OCCCN3CCN(CC3)c4ccccc4)cc2OC1=O,0.483525471,3.69252,378.472,0,1,1,1
22,CCCN(CCC)[C@H]1CCn2c(C1)ccc2\C=N\O,0.486878019,2.733,263.385,0,1,1,1
23,COc1ccccc1N2CCN(CCCCN3CCCc4ccccc4C3=O)CC2,0.656186285,3.686,407.558,0,1,1,1
24,COCCC(=O)N[C@@H]1CC[C@@H](CCN2CCC(CC2)c3noc4ccc(F)cc34)CC1,0.676890195,4.2479,431.552,0,1,1,1
25,COc1ccc(cc1)N2CCN(CCc3c[nH]c4ncccc34)CC2,0.777985154,2.9362,336.439,0,1,1,1
26,COc1ccccc1N2CCN(CC(O)CCNC(=O)c3ccc4cc(F)ccc4n3)CC2,0.547351856,2.6855,452.53,0,1,1,1
27,CCCN(Cc1ccccc1)[C@@H]2CCc3c(F)cccc3C2,0.779631917,4.5952,297.417,0,1,1,1
28,CC(=O)N[C@@H]1CC[C@@H](CCN2CCC(CC2)c3noc4cc(F)ccc34)CC1,0.834039656,4.2313,387.499,0,1,1,1
29,COc1ccccc1N2CCN(CC(O)CCn3cc(nn3)c4ccccc4)CC2,0.619039203,2.5269,407.518,0,1,1,1
30,CCOc1ccccc1N2CCN(Cc3cccnc3)CC2,0.84830479,2.8025,297.402,0,1,1,1
31,COc1c(cc(Br)c2ccccc12)C(=O)NCCN3CCN(CC3)c4ccccc4,0.590371237,4.1629,468.395,0,1,1,1
32,CNc1cc(OC)c(cc1Cl)C(=O)NC[C@H]2CCN(Cc3ccccc3)C2,0.761120732,3.6422,387.911,0,1,1,1
33,CN(C)C(=O)N[C@@H]1CC[C@@H](CCN2CCC(CC2)c3cccc4OCCc34)CC1,0.81329537,4.021,399.579,0,1,1,1
34,COc1c(cc(Br)c2ccccc12)C(=O)NCCN3CCN(CC3)c4cccc(C)c4C,0.533838567,4.77974,496.449,0,1,1,1
35,C(Cc1c[nH]c2ncccc12)N3CCC(=CC3)\C=C\c4ccccc4,0.749715208,4.4509,329.447,0,1,1,1
36,COc1ccccc1N2CCN(CCCCNC(=O)c3ccc4ccccc4n3)CC2,0.566940971,3.5756,418.541,0,1,1,1
37,CCCN(CCN1CCN(CC1)c2ccnc3ccccc23)C4CCc5ccc(O)cc5C4,0.587524887,4.3319,444.623,0,1,1,1
38,COc1ccc2[nH]c3Cc4ccccc4CCN(C)CCc3c2c1,0.73858201,3.7977,320.436,0,1,1,1
39,COc1ccc(Cn2nnc(C(=O)NCCCCN3CCN(CC3)c4ccccc4OC)c2C)cc1,0.412085891,2.98422,492.624,0,1,1,1
40,CCCN(CCC)[C@@H]1CCc2ccc(OC)cc2C1,0.774373154,3.6745,261.409,0,1,1,1
41,COc1ccc2[nH]c(cc2c1)C(=O)NCCC(F)CN3CCN(CC3)c4cccc(Cl)c4Cl,0.475185092,4.7635,493.41,0,1,1,1
42,COc1cc(OC(=O)NCCCCN2CCN(CC2)c3cccc(Cl)c3Cl)ccc1c4ccccc4,0.327828,6.3598,528.48,0,1,1,1
43,COc1ccc(cc1c2ccc(CN3CCCCCC3c4ccccc4)[nH]2)S(=O)(=O)N(C)C,0.527608179,5.0579,467.635,0,1,1,1
44,CN1CCN(CC1)C2=Cn3cccc3Sc4sccc24,0.801819362,3.2172,303.456,0,1,1,1
45,COc1cc2CCN3Cc4c(CC3c2cc1O)ccc(OCC5CC5)c4OC,0.852499358,3.8537,381.472,0,1,1,1
46,CCN(Cc1cccc(C)c1)Cc2ccc([nH]2)c3cc(ccc3OC)S(=O)(=O)CC,0.533102367,4.81442,426.582,0,1,1,1
47,COc1ccc(cc1)N2CCC3(CCN(CCCSc4nnc(c5ccccc5)n4C)CC3)CC2,0.312465626,5.3555,491.705,0,1,1,1
48,COc1ccccc1N2CCCN(CCCCNC(=O)c3ccc(cc3)c4ccsc4)CC2,0.446139722,5.146,463.647,0,1,1,1
49,C=CCN1CCC[C@H](C1)c2cccc(c2)C#N,0.740907802,2.92368,226.323,0,1,1,1
50,Fc1ccccc1N2CCN(CCCCc3onc(\C=C\c4ccccc4)c3)CC2,0.486578239,5.129,405.517,0,1,2,1
51,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CC5CC5(C4)c6ccc(Cl)c(Cl)c6)n3C,0.206849542,6.40122,524.521,0,1,2,1
52,Fc1ccc(SCCCN2CCC(CC2)c3ccc(Cl)cc3)cc1,0.468106383,5.8409,363.929,0,1,2,1
53,COc1ccccc1N2CCN(CCCNC(=O)c3ccc(COCCOCCOCCOCCOCc4ccc(cc4)C(=O)NCCCN5CCN(CC5)c6ccccc6OC)cc3)CC2,0.065026975,5.3712,925.181,0,1,2,1
54,Cc1cnc(cn1)c2nnc(SCCCN3CCc4ccc5c(C)noc5c4CC3)n2C,0.325940419,3.61314,449.584,0,1,2,1
55,FCCOCCOc1ccc(cc1)C(=O)NC\C=C\CN2CCN(CC2)c3ccccc3OCCF,0.296585153,3.508,503.59,0,1,2,1
56,FCCN1CN(c2ccccc2)C3(CCN(Cc4coc5ccccc45)CC3)C1=O,0.639995158,4.0432,407.489,0,1,2,1
57,O=C(CC#N)N[C@@H]1CC[C@@H](CCN2CCC(CC2)c3cccc4OCOc34)CC1,0.794214421,3.57348,397.519,0,1,2,1
58,Fc1ccc(cc1)N2CCN(Cc3cnn(c3)c4ccccc4)CC2,0.730308703,3.3336,336.414,0,1,2,1
59,CS(=O)(=O)Nc1cc(OCCNCc2cccs2)ccc1Cl,0.71012282,2.9416,360.888,0,1,2,1
60,Cc1ncoc1c2nnc(SCCCN3CC4OCCN(C4C3)c5ccc(cc5)C(F)(F)F)n2C,0.351972891,3.86912,508.57,0,1,2,1
61,Oc1ccc(N2CCN(CCCCOc3ccn4nccc4c3)CC2)c5OCC(=O)Nc15,0.433074911,2.352,437.5,0,1,2,1
62,O=C1Nc2ccccc2N1C3CCN(Cc4coc5ccccc45)CC3,0.611178674,3.9129,347.418,0,1,2,1
63,Cc1ncoc1c2nnc(SCCCN3CC[C@@]4(C[C@@H]4c5ccccc5)C3)n2C,0.431725385,4.14032,409.559,0,1,2,1
64,COc1ccccc1N2CCN(Cc3cc(CN4CCN(C)CC4)c5cccccc35)CC2,0.574109543,3.8696,444.623,0,1,2,1
65,Oc1ccc2CCC(Cc2c1)N(CCCCNC(=O)c3ccccc3)CCCN4CCN(CC4)c5ccccc5,0.317730894,4.974,540.752,0,1,2,1
66,COc1ccccc1N2CCN(CCCCn3cc(nn3)c4ccc(N)cc4)CC2,0.457699672,3.1383,406.534,0,1,2,1
67,Cc1ncoc1c2nnc(SCCCN3CC[C@]4(C[C@H]4c5ccc(F)cc5)C3)n2C,0.414353341,4.27942,427.549,0,1,2,1
68,Oc1ccc(N2CCCNCC2)c3OCC(=O)Nc13,0.644286083,0.5228,263.297,0,1,2,1
69,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c4ccc(cc4)C(F)(F)F)C2)nnc1C5CCN(CC5)C(=O)N,0.429294518,4.4538,522.641,0,1,2,1
70,COc1ccccc1N2CCN(Cc3cc(C#C)c4cccccc34)CC2,0.654660098,4.1035,356.469,0,1,2,1
71,FC(CCNC(=O)c1oc2ccccc2c1)CN3CCN(CC3)c4cccc(Cl)c4Cl,0.533740394,5.0198,464.368,0,1,2,1
72,Oc1cccc(c1)C2CNCCO2,0.676803556,1.0531,179.219,0,1,2,1
73,O=C(N[C@@H]1CC[C@@H](CCN2CCN(CC2)c3nccc4OCCc34)CC1)C5CCOC5,0.749692782,2.2401,428.577,0,1,2,1
74,Clc1cc(Cl)cc(c1)N2CCN(CCN3Cc4ccccc4C3)C2=O,0.797745864,4.2512,376.287,0,1,2,1
75,O[C@]1(C[C@H]2CC[C@@H](C1)N2Cc3n[nH]c4ccccc34)c5ccc(Cl)cc5,0.727908967,4.2309,367.88,0,1,2,1
76,Fc1ccc(cc1)C(N2CCN(CCCCc3nc4ccccc4s3)CC2)c5ccc(F)cc5,0.277547999,6.3044,477.624,0,1,2,1
77,OC(CN1CCN(CC[S+]([O-])C(c2ccc(F)cc2)c3ccc(F)cc3)CC1)Cc4ccccc4,0.429191806,4.0241,498.639,0,1,2,1
78,Fc1ccc(cc1)C(=O)CCCN2CCC(CC2)(OC(=O)CCCCCCCCCCC(=O)OC3(CCN(CCCC(=O)c4ccc(F)cc4)CC3)c5ccc(Cl)cc5)c6ccc(Cl)cc6,0.036844683,12.8676,946.016,0,1,2,1
79,Clc1cccc(N2CCN(CCc3cn(nn3)c4ccn5ncc(C=O)c5c4)CC2)c1Cl,0.402630846,3.399,470.364,0,1,2,1
80,O=C(Cc1ccc2OCOc2c1)N[C@@H]3CC[C@@H](CCN4CCC(CC4)c5cccc6OCOc56)CC3,0.607857618,4.6312,492.616,0,1,2,1
81,Oc1cccc(c1)N2CCN(CCN3CCC(CC3)C(F)(F)F)C2=O,0.901389097,2.9085,357.376,0,1,2,1
82,O=C(NC[C@@H]1C[C@H]1CN2CCN(CC2)c3cccc(c3)C#N)c4ccnc5ccccc45,0.656161633,3.29458,425.536,0,1,2,1
83,O=C(NCCCCN1CCCN(CC1)C(c2ccccc2)c3ccccc3)\C=C\c4ccccc4,0.320607195,5.3935,467.657,0,1,2,1
84,OC1(CC(=O)N[C@@H]2CC[C@@H](CCN3CCN(CC3)c4cccc5OCOc45)CC2)CCC1,0.675127377,2.9075,443.588,0,1,2,1
85,Fc1ccc(cc1)c2cncc(CN3CCN(CC3)c4cccc5OCCOc45)c2,0.656468265,3.9811,405.473,0,1,2,1
86,Fc1ccc2C(=O)C(CCN3CCc4ccccc4C3)Cc2c1,0.862740115,3.6291,309.384,0,1,2,1
87,COc1ccccc1N2CCN(Cc3cc4C(=O)NC(=Nc4[nH]3)N(C)C)CC2,0.698476183,1.648,382.468,0,1,2,1
