,can,QED,logP,molWt,herg,drd3,fold,profile
0,COc1ccccc1N2CCN(CCCCOc3ccn4ncc(C#N)c4c3)CC2,0.536431814,3.19578,405.502,0,1,2,1
1,COc1ccccc1N2CCN(CCCCOc3ccn4ncc(C=O)c4c3)CC2,0.400504513,3.1366,408.502,0,1,2,1
2,COc1ccccc1N2CCN(CCCCc3cn(nn3)c4ccc(cc4)N(C)C)CC2,0.480756976,3.4868,434.588,0,1,2,1
3,COc1ccccc1N2CCN(CCCCc3onc(c3)c4cccs4)CC2,0.521496178,4.5566,397.544,0,1,2,1
4,COc1ccccc1N2CCN(CCCCn3cc(nn3)c4ccc(cc4)c5ccccc5)CC2,0.315826192,5.2231,467.617,0,1,2,1
5,COc1ccccc1N2CCN(CCCCn3cc(nn3)c4ccc5c(Cc6ccccc56)c4)CC2,0.2889516,5.1273,479.628,0,1,2,1
6,COc1ccccc1N2CCN(CCCNC(=O)Oc3ccc(cc3)c4cccc(c4)C(=O)N)CC2,0.445375829,3.7618,488.588,0,1,2,1
7,COc1ccccc1N2CCN(CCCNC(=O)Oc3ccc(cc3)c4ccccc4)CC2,0.511193217,4.6629,445.563,0,1,2,1
8,COc1ccccc1N2CCN(CCCNC(=O)Oc3cccc(c3)c4cccc(c4)C(=O)N)CC2,0.445375829,3.7618,488.588,0,1,2,1
9,COc1ccccc1N2CCN(CCCNC(=O)Oc3cccc4ccccc34)CC2,0.583335457,4.1491,419.525,0,1,2,1
10,COc1ccccc1N2CCN(CCCNC(=O)c3ccc(COCCOCCOCCOCCOCCOCc4ccc(cc4)C(=O)NCCCN5CCN(CC5)c6ccccc6OC)cc3)CC2,0.058950032,5.3878,969.234,0,1,2,1
11,COc1ccccc1N2CCN(CCCNC(=O)c3cnn4ccc(OCCOCCOCCOCCOc5ccn6ncc(C(=O)NCCCN7CCN(CC7)c8ccccc8OC)c6c5)cc34)CC2,0.066387801,4.391,977.177,0,1,2,1
12,COc1ccccc1N2CCN(CCCOc3ccc(cc3)c4cn5ccccc5n4)CC2,0.373209671,4.601,442.563,0,1,2,1
13,COc1ccccc1N2CCN(CCCOc3ccc4C=CC(=O)Nc4c3)CC2,0.625260425,3.1278,393.487,0,1,2,1
14,COc1ccccc1N2CCN(CCCc3cn(nn3)c4ccc(F)cc4)CC2,0.614990312,3.1698,395.482,0,1,2,1
15,COc1ccccc1N2CCN(CCCc3cn(nn3)c4ccc(cc4)N(C)C)CC2,0.55821576,3.0967,420.561,0,1,2,1
16,COc1ccccc1N2CCN(CCCc3cn(nn3)c4ccc(cc4)c5ccsc5)CC2,0.380222762,4.7592,459.619,0,1,2,1
17,COc1ccccc1N2CCN(CCCc3cn(nn3)c4ccccc4)CC2,0.633356897,3.0307,377.492,0,1,2,1
18,COc1ccccc1N2CCN(CCCc3cn(nn3)c4ccn5nccc5c4)CC2,0.460745502,2.6784,417.517,0,1,2,1
19,COc1ccccc1N2CCN(CCNC(=O)c3cn(nn3)c4ccc(cc4)[N+](=O)[O-])CC2,0.406371352,1.7361,451.487,0,1,2,1
20,COc1ccccc1N2CCN(CNC(=O)c3ccc(C)cc3)CC2,0.909110651,2.51312,339.439,0,1,2,1
21,COc1ccccc1N2CCN(C\C=C\CNC(=O)c3cc(I)ccc3OCCF)CC2,0.35910469,3.7563,553.416,0,1,2,1
22,COc1ccccc1N2CCN(C\C=C\CNC(=O)c3cc4cc(OCCF)ccc4[nH]3)CC2,0.446797753,3.633,466.557,0,1,2,1
23,COc1ccccc1N2CCN(C\C=C\CNC(=O)c3cc4cc(OCCOCCOCCF)ccc4[nH]3)CC2,0.206424158,3.6662,554.663,0,1,2,1
24,COc1ccccc1N2CCN(C\C=C\CNC(=O)c3ccc(OCCF)cc3)CC2,0.590663851,3.1517,427.52,0,1,2,1
25,COc1ccccc1N2CCN(C\C=C\CNC(=O)c3ccc(OCCOCCF)cc3)CC2,0.357753933,3.1683,471.573,0,1,2,1
26,COc1ccccc1N2CCN(Cc3cc(C#Cc4ccccc4)c5cccccc35)CC2,0.394941062,5.522,432.567,0,1,2,1
27,COc1ccccc1N2CCN(Cc3ccc(CNC(=O)c4ccc5ccccc5c4)cc3)CC2,0.412474621,5.1006,465.597,0,1,2,1
