,can,QED,logP,molWt,herg,drd3,fold,profile
0,COc1ccccc1N2CCN(CCCCOc3ccn4ncc(\C=N\O)c4c3)CC2,0.246697675,3.1322,423.517,0,1,2,1
1,COc1ccccc1N2CCN(CCCCc3cn(nn3)c4ccc(cc4)c5ccsc5)CC2,0.314753916,5.1493,473.646,0,1,2,1
2,COc1ccccc1N2CCN(CCCCc3cn(nn3)c4ccc5c(Cc6ccccc56)c4)CC2,0.293486988,4.992,479.628,0,1,2,1
3,COc1ccccc1N2CCN(CCCCc3cn(nn3)c4ccc5ccccc5c4)CC2,0.37486639,4.574,441.579,0,1,2,1
4,COc1ccccc1N2CCN(CCCCc3cn(nn3)c4cccc5cnccc45)CC2,0.385019787,3.969,442.567,0,1,2,1
5,COc1ccccc1N2CCN(CCCCc3cn(nn3)c4ccccc4O)CC2,0.578962036,3.1264,407.518,0,1,2,1
6,COc1ccccc1N2CCN(CCCCc3cn(nn3)c4ccccc4OC)CC2,0.49362452,3.4294,421.545,0,1,2,1
7,COc1ccccc1N2CCN(CCCCc3onc(\C=C\c4ccccc4)c3)CC2,0.458516303,4.9985,417.553,0,1,2,1
8,COc1ccccc1N2CCN(CCCCc3onc(c3)c4ccccc4)CC2,0.529190899,4.4951,391.515,0,1,2,1
9,COc1ccccc1N2CCN(CCCCn3cc(nn3)c4ccc(Br)cc4)CC2,0.459309693,4.3186,470.415,0,1,2,1
10,COc1ccccc1N2CCN(CCCCn3cc(nn3)c4ccc(cc4)c5ocnc5)CC2,0.347964717,4.2111,458.566,0,1,2,1
11,COc1ccccc1N2CCN(CCCCn3cc(nn3)c4ccc5ccccc5c4)CC2,0.370742396,4.7093,441.579,0,1,2,1
12,COc1ccccc1N2CCN(CCCCn3cc(nn3)c4ccc5ncccc5c4)CC2,0.383004337,4.1043,442.567,0,1,2,1
13,COc1ccccc1N2CCN(CCCCn3cc(nn3)c4ccccc4)CC2,0.549673686,3.5561,391.519,0,1,2,1
14,COc1ccccc1N2CCN(CCCN3C(=O)c4ccccc4C3=O)CC2,0.722151091,2.5035,379.46,0,1,2,1
15,COc1ccccc1N2CCN(CCCNC(=O)Cc3cccc4ccccc34)CC2,0.567645589,3.7194,417.553,0,1,2,1
16,COc1ccccc1N2CCN(CCCNC(=O)c3cc4ccccn4n3)CC2,0.624300196,2.285,393.491,0,1,2,1
