	label	Descriptor-based DNN	Fingerprint-based DNN	Graph-based GCN
C	seed_335_9		0.37972610534555984	4.6303413922177216e-20
C(=C)(C)CCCNC(=O)NCCCCNC(=C1CCCCCCCCCC1)c1ccccn1	seed_62_1	0.9996663417287422	0.00579692575094477	0.99651252880188
C(=Cc1ccccc1)N2CCC(CCCCNC(=Cc3ccc(Cl)cc3)CC2)C	seed_73_1	0.999999395170135	0.977239752732474	0.9999103724758324
C(=Cc1ccccc1)N2CCC(CCCCNC(=Cc3ccc(Cl)cc3)CC2)C(=O)C=C=C	seed_86_1	0.9999987037275904	0.9875358279318937	0.9916348903047014
C(C)(C)c1ccc(CCN2CCN(CC2)c3cccc(Cl)c3)cc1	seed_456_1	0.9999763852068472	0.9999843552754116	0.8996167684134979
C(C)(C)c1ccc(CCNCCCCNc2ccc(Cl)cc2)cc1	seed_65_1	0.9999954827979044	0.9999568648437578	0.9919200136658964
C(C)(c1ccccc1)N2CCN(CCCCCCCCCCNcccc2)c3ccccc3	seed_158_1	0.9999993329775729	0.9169921231618904	0.99997191187617
C(C=CCCCC=C\c1ccc(F)cc1)C(=O)NCC	seed_77_1	0.2104846673554181	0.008132134569731359	0.02176071501411661
C(CNC1=C(CC(C)CCCC1)c2ccc(Cl)cc2)c3ccc(O)cc3	seed_66_1	0.9798555428777213	0.9940172390331982	0.9998926371903216
C1=CC(C)(C)CN(CCCCN2C(=O)c3ccccc3O2)S(=O)(=O)NCc3ccccc13	seed_440_1	1.4031525965244043e-05	0.009188448728678677	0.03056266040379716
C1=Cc2ccccc2C=CC(=O)NCc2ccc(Cc3ccc(Cl)cc3)cc2OCc1	seed_414_1	0.05792729339684556	0.0025115683695035645	0.9165538031185092
C1=Cc2ccccc2C=CC(CC=CCCNS(=O)(=O)c3ccc(Cl)cc3OC)CCCC1=O	seed_436_1	0.33301898640877153	0.6981664999077066	0.7281668819649023
C1=Cc2ccccc2C=CC(CC=C\C=C\CNC(=O)c3cc(Cl)cc(Cl)c3O)N=C1	seed_436_2	0.010780029172536286	0.5310854083354603	0.9281346984519556
C1=Cc2ccccc2C=CC(CC=C\C=C\CNC(=O)c3cc(Cl)ccc3O)COCCC1	seed_27_1	0.8307733562308239	0.0037212922889575564	0.01956237299226777
C1CC(CC(CC1)c2ccccc2)NC(=O)c3ccc(cc3)NC(=O)c3ccc(cc3)NC(=O)NC	seed_359_1	0.9252925942815824	0.035613320903779895	0.3592593747253105
C1CC(CC(CC1=C)c2ccccc2)C(=O)NCc2ccc(Cc3ccc(Cl)cc3)nc2	seed_155_1	0.9997818461210236	0.8381212227356661	0.5590842082211428
C1CC(CC(CO)CCCCCCNS(=O)(=O)c2ccccc2)Cc3ccccc3CC1	seed_358_1	0.9998213910732248	0.10178258111206058	0.9999885008527704
C1CC(CC(CO)CCCOCCCNS(=O)(=O)c2ccccc2)Cc3ccccc3CCC1=O	seed_481_1	0.999687411878014	0.1911952217435744	0.9999995493903611
C1CC(CC(CO)CCCOCCOCCOCCCCNCc2ccccc2)C(=O)c1	seed_2_1	0.9858993095359544	0.051578353547297215	0.00018234386269311853
C1CC(CC1)C2=CC=CC(CC2)NC(=O)c3cc(Cl)c(Cl)cc3Cl	seed_163_1	0.4534909411563444	0.0022809013471465265	0.6863213967049677
C1CC(CC1)C2=CCC(CC2)NC(=O)c3cc(Cl)cc(Cl)c3Cl	seed_65_2	0.5426377957858448	0.07791738476232288	0.9936303905476902
C1CC(CC1=S)c2ccc(Cl)cc2NC(=O)c3ccc(Cl)c(C)c3	seed_66_2	0.08454186983452808	0.01028891083222633	0.9530251212875888
C1CC(CCCCCN2C(=O)CCCCNCC2=O)c3cccc(Cl)c3OC=S1	seed_15_1	0.22213969208651024	0.009050432845133077	0.00020179439059421692
C1CC(CCCCCN2CCC(CC2=O)S(=O)(=O)c3ccccc3)CC1c3ccccc3	seed_280_1	0.9999810868197636	0.9838411128760411	0.0030758755318375463
C1CC(CCCCCNC(=O)CC2=CCC(=O)c3ccccc23)Nc3c(F)cccc13	seed_128_1	0.4851325826709902	0.039399326869462764	0.5513081689948073
C1CC(CCCCCOCCOCCOCc2ccccc2)c3ccccc3OCC1=O	seed_243_1	0.42753944384919695	0.7840612167171772	0.947559640200436
C1CC(CCCCCSc2nc(C=Cc3ccc(CS(=O)(=O)C(C)C)cc3)nn21)c3ccc3	seed_238_1	0.9312396952980464	0.0005506742512352154	0.04849968961935325
C1CC(CCCCCSc2nc(C=Cc3ccc(CS(=O)(=O)C(C)C)cc3)no2)CC1	seed_207_1	0.9009071181921526	0.12558196913609132	0.0012106362107770915
C1CC(CCCCCSc2nc(C=Cc3ccc(CS(=O)(=O)N)cc3)no2)CC1CCC	seed_208_1	0.3780534774708488	0.020811604125255463	0.039667499752765886
C1CC(CCCCCSc2nc(C=Cc3ccc(Cl)cc3)nn2C1=O)c3ccccc3	seed_114_1	0.851327952282895	0.0024079422423431552	0.9963965102586856
C1CC(CCNC(=O)CC2=CCC(CC2)c3ccc(Cl)cc3)C(=O)NCCCC1=O	seed_91_1	0.20232036360452454	0.018421487450344817	0.3675327768424056
C1CC(CCSc2nc(C=Cc3ccc(Cl)cc3)nn2S1=O)c3ccccc3OCC	seed_203_1	0.550734848507521	0.15570957329349774	0.9748650426173908
C1CC=CCCCCN(CCCCN2CCN(CC=C\c3ccccc3)CC2=O)C(=O)c1=O	seed_147_1	0.29663982192224714	0.013850868469664688	2.6759056946868766e-07
C1CC=CCCCCN(CCCCNc2nc(C=Cc3ccccc3)no2)c1=O	seed_92_1	0.9987920211138362	0.013266306340538695	0.01822599047782844
C1CCC(CC1)CCCOCc2ccccc2OC	seed_334_1	0.04210318019780687	0.42088976900173	0.1389773423757259
C1CCC(CC1)COCCCOCCCOC	seed_334_2	0.002924710328781113	0.02178709649446885	1.0295909942186842e-06
C1CCC(CC=C1)C2=CCC23CCN(Cc4ccc(C)cc4)C3=O	seed_139_1	0.042846318601134366	0.02322575066623525	0.0020289552821568893
C1CCC(CCCCC(=O)NCCCC(c2ccccc2)N3CCC3COCc3ccccc3)CC1	seed_402_1	0.9999992255363286	0.9260508027198744	0.6165478646073765
