ID	Label
seed_49_1	hERG non-blocker
seed_19_1	hERG non-blocker
seed_21_1	hERG non-blocker
seed_122_1	hERG non-blocker
seed_122_2	hERG non-blocker
seed_122_3	hERG non-blocker
seed_122_4	hERG non-blocker
seed_124_1	hERG non-blocker
seed_122_5	hERG blocker
seed_122_6	hERG non-blocker
seed_122_7	hERG non-blocker
seed_122_8	hERG non-blocker
seed_126_1	hERG non-blocker
seed_19_2	hERG non-blocker
seed_129_1	hERG non-blocker
seed_129_2	hERG non-blocker
seed_122_9	hERG non-blocker
seed_122_10	hERG blocker
seed_19_3	hERG blocker
seed_21_2	hERG blocker
seed_131_1	hERG blocker
seed_124_2	hERG blocker
seed_139_1	hERG non-blocker
seed_68_1	hERG non-blocker
seed_68_2	hERG non-blocker
seed_31_1	hERG non-blocker
seed_31_2	hERG non-blocker
seed_31_3	hERG non-blocker
seed_88_1	hERG blocker
seed_88_2	hERG blocker
seed_88_3	hERG blocker
seed_79_1	hERG blocker
seed_62_1	hERG non-blocker
seed_87_1	hERG non-blocker
seed_37_1	hERG blocker
seed_19_5	hERG blocker
seed_19_6	hERG blocker
seed_23_1	hERG blocker
seed_21_3	hERG blocker
seed_119_1	hERG blocker
seed_119_2	hERG blocker
seed_119_3	hERG blocker
seed_115_1	hERG blocker
seed_115_2	hERG blocker
seed_19_7	hERG blocker
seed_115_3	hERG blocker
seed_115_4	hERG blocker
seed_115_5	hERG blocker
seed_115_6	hERG blocker
seed_115_7	hERG blocker
seed_115_8	hERG blocker
seed_115_9	hERG blocker
seed_119_4	hERG blocker
seed_119_5	hERG blocker
seed_119_6	hERG blocker
seed_113_1	hERG blocker
seed_113_2	hERG blocker
seed_115_10	hERG blocker
seed_115_11	hERG blocker
seed_115_12	hERG blocker
seed_119_7	hERG blocker
seed_113_3	hERG blocker
seed_113_4	hERG blocker
seed_115_13	hERG blocker
seed_119_8	hERG blocker
seed_121_1	hERG blocker
seed_119_9	hERG blocker
seed_121_2	hERG blocker
seed_119_10	hERG blocker
seed_119_11	hERG blocker
seed_119_12	hERG blocker
seed_121_3	hERG blocker
seed_119_13	hERG blocker
seed_121_4	hERG blocker
seed_121_5	hERG blocker
seed_119_14	hERG blocker
seed_121_6	hERG blocker
seed_121_7	hERG blocker
seed_121_8	hERG blocker
seed_121_9	hERG blocker
seed_121_10	hERG blocker
seed_121_11	hERG blocker
seed_111_1	hERG blocker
seed_83_1	hERG blocker
seed_59_1	hERG blocker
seed_0_1	hERG blocker
seed_83_2	hERG blocker
seed_29_1	hERG blocker
seed_29_2	hERG blocker
seed_29_3	hERG blocker
